Des-I,Emp-I,TIPOVUELO,temporada_alta,periodo_dia,atraso_15
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
CYYZ,ACA,I,1,noche,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,1
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,1
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,1
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
LFPG,AFR,I,1,tarde,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,1
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
MMMX,AMX,I,1,noche,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,1
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,1
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SABE,ARG,I,1,tarde,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,1
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,1
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SAEZ,ARG,I,1,noche,0
SABE,ARG,I,1,mañana,1
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,mañana,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,1
SABE,ARG,I,1,noche,0
SABE,ARG,I,1,noche,0
SABE,AUT,I,1,noche,0
SABE,AUT,I,1,noche,0
SABE,AUT,I,1,noche,0
SABE,AUT,I,1,noche,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,1
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,mañana,1
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,1
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,1
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,1
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,tarde,0
SKBO,AVA,I,1,tarde,1
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,mañana,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,noche,0
SKBO,AVA,I,1,mañana,1
LIRF,AZA,I,1,tarde,1
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,1
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,1
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,1
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
LIRF,AZA,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,1
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,1
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,1
EGLL,BAW,I,1,tarde,1
EGLL,BAW,I,1,tarde,1
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
EGLL,BAW,I,1,tarde,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,1
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,1
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,tarde,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,1
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,1
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,1
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,mañana,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,1
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,1
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,1
MPTO,CMP,I,1,noche,1
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,noche,0
MPTO,CMP,I,1,mañana,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,mañana,1
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,1
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,1
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,1
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,0
KATL,DAL,I,1,noche,1
KATL,DAL,I,1,noche,1
KATL,DAL,I,1,noche,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,1
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,1
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,mañana,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,0
SBGR,GLO,I,1,tarde,1
SBGR,GLO,I,1,tarde,1
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,1
SBGL,GLO,I,1,noche,1
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,1
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
SBGL,GLO,I,1,noche,0
