Des-I,Emp-I,DIA,MES,DIANOM,TIPOVUELO,temporada_alta,periodo_dia,atraso_15
MMMX,AMX,9,1,Lunes,I,1,noche,0
SABE,ARG,1,1,Domingo,I,1,mañana,0
SABE,ARG,2,1,Lunes,I,1,mañana,0
SABE,ARG,3,1,Martes,I,1,mañana,0
SABE,ARG,4,1,Miercoles,I,1,mañana,1
SABE,ARG,5,1,Jueves,I,1,mañana,1
SABE,ARG,6,1,Viernes,I,1,mañana,0
SABE,ARG,7,1,Sabado,I,1,mañana,0
SABE,ARG,8,1,Domingo,I,1,mañana,0
SABE,ARG,9,1,Lunes,I,1,mañana,1
SABE,ARG,10,1,Martes,I,1,mañana,0
SABE,ARG,11,1,Miercoles,I,1,mañana,0
SABE,ARG,12,1,Jueves,I,1,mañana,0
SABE,ARG,13,1,Viernes,I,1,mañana,1
SABE,ARG,14,1,Sabado,I,1,mañana,1
SABE,ARG,15,1,Domingo,I,1,mañana,1
SABE,ARG,16,1,Lunes,I,1,mañana,0
SABE,ARG,17,1,Martes,I,1,mañana,0
SABE,ARG,18,1,Miercoles,I,1,mañana,1
SABE,ARG,19,1,Jueves,I,1,mañana,0
SABE,ARG,20,1,Viernes,I,1,mañana,0
SABE,ARG,21,1,Sabado,I,1,mañana,0
SABE,ARG,23,1,Lunes,I,1,mañana,0
SABE,ARG,24,1,Martes,I,1,mañana,0
SABE,ARG,25,1,Miercoles,I,1,mañana,0
SABE,ARG,26,1,Jueves,I,1,mañana,0
SABE,ARG,27,1,Viernes,I,1,mañana,0
SABE,ARG,30,1,Lunes,I,1,mañana,0
SABE,ARG,31,1,Martes,I,1,mañana,0
SABE,ARG,2,1,Lunes,I,1,mañana,0
SABE,ARG,3,1,Martes,I,1,mañana,0
SABE,ARG,4,1,Miercoles,I,1,mañana,1
SABE,ARG,5,1,Jueves,I,1,mañana,0
SABE,ARG,6,1,Viernes,I,1,mañana,0
SABE,ARG,7,1,Sabado,I,1,mañana,0
SABE,ARG,9,1,Lunes,I,1,mañana,0
SABE,ARG,10,1,Martes,I,1,mañana,0
SABE,ARG,11,1,Miercoles,I,1,mañana,0
SABE,ARG,12,1,Jueves,I,1,mañana,0
SABE,ARG,13,1,Viernes,I,1,mañana,0
SABE,ARG,14,1,Sabado,I,1,mañana,0
SABE,ARG,16,1,Lunes,I,1,mañana,1
SABE,ARG,17,1,Martes,I,1,mañana,0
SABE,ARG,18,1,Miercoles,I,1,mañana,0
SABE,ARG,19,1,Jueves,I,1,mañana,0
SABE,ARG,20,1,Viernes,I,1,mañana,1
SABE,ARG,21,1,Sabado,I,1,mañana,0
SABE,ARG,23,1,Lunes,I,1,mañana,0
SABE,ARG,24,1,Martes,I,1,mañana,0
SABE,ARG,25,1,Miercoles,I,1,mañana,1
SABE,ARG,26,1,Jueves,I,1,mañana,0
SABE,ARG,27,1,Viernes,I,1,mañana,0
SABE,ARG,28,1,Sabado,I,1,mañana,0
SABE,ARG,30,1,Lunes,I,1,mañana,0
SABE,ARG,1,1,Domingo,I,1,tarde,0
SABE,ARG,2,1,Lunes,I,1,tarde,0
SABE,ARG,3,1,Martes,I,1,tarde,1
SABE,ARG,4,1,Miercoles,I,1,tarde,0
SABE,ARG,5,1,Jueves,I,1,tarde,0
SABE,ARG,6,1,Viernes,I,1,tarde,0
SABE,ARG,7,1,Sabado,I,1,tarde,0
SABE,ARG,8,1,Domingo,I,1,tarde,0
SABE,ARG,9,1,Lunes,I,1,tarde,0
SABE,ARG,10,1,Martes,I,1,tarde,0
SABE,ARG,11,1,Miercoles,I,1,tarde,0
SABE,ARG,12,1,Jueves,I,1,tarde,1
SABE,ARG,13,1,Viernes,I,1,tarde,0
SABE,ARG,14,1,Sabado,I,1,tarde,0
SABE,ARG,15,1,Domingo,I,1,tarde,0
SABE,ARG,16,1,Lunes,I,1,tarde,0
SABE,ARG,17,1,Martes,I,1,tarde,0
SABE,ARG,18,1,Miercoles,I,1,tarde,0
SABE,ARG,19,1,Jueves,I,1,tarde,0
SABE,ARG,20,1,Viernes,I,1,tarde,0
SABE,ARG,21,1,Sabado,I,1,tarde,0
SABE,ARG,22,1,Domingo,I,1,tarde,0
SABE,ARG,23,1,Lunes,I,1,tarde,0
SABE,ARG,24,1,Martes,I,1,tarde,0
SABE,ARG,25,1,Miercoles,I,1,tarde,0
SABE,ARG,26,1,Jueves,I,1,tarde,0
SABE,ARG,27,1,Viernes,I,1,tarde,0
SABE,ARG,28,1,Sabado,I,1,tarde,0
SABE,ARG,29,1,Domingo,I,1,tarde,0
SABE,ARG,30,1,Lunes,I,1,tarde,0
SABE,ARG,31,1,Martes,I,1,tarde,0
SAEZ,ARG,1,1,Domingo,I,1,noche,0
SAEZ,ARG,2,1,Lunes,I,1,noche,0
SAEZ,ARG,3,1,Martes,I,1,noche,1
SAEZ,ARG,4,1,Miercoles,I,1,noche,0
SAEZ,ARG,5,1,Jueves,I,1,noche,0
SAEZ,ARG,6,1,Viernes,I,1,noche,0
SAEZ,ARG,7,1,Sabado,I,1,noche,0
SAEZ,ARG,8,1,Domingo,I,1,noche,0
SAEZ,ARG,9,1,Lunes,I,1,noche,0
SAEZ,ARG,10,1,Martes,I,1,noche,0
SAEZ,ARG,11,1,Miercoles,I,1,noche,1
SAEZ,ARG,12,1,Jueves,I,1,noche,0
SAEZ,ARG,13,1,Viernes,I,1,noche,0
SAEZ,ARG,14,1,Sabado,I,1,noche,0
SAEZ,ARG,15,1,Domingo,I,1,noche,0
SAEZ,ARG,16,1,Lunes,I,1,noche,0
SAEZ,ARG,17,1,Martes,I,1,noche,0
SAEZ,ARG,18,1,Miercoles,I,1,noche,0
SAEZ,ARG,19,1,Jueves,I,1,noche,0
SAEZ,ARG,20,1,Viernes,I,1,noche,0
SAEZ,ARG,22,1,Domingo,I,1,noche,0
SAEZ,ARG,23,1,Lunes,I,1,noche,0
SAEZ,ARG,24,1,Martes,I,1,noche,0
SAEZ,ARG,25,1,Miercoles,I,1,noche,0
SAEZ,ARG,27,1,Viernes,I,1,noche,0
SAEZ,ARG,28,1,Sabado,I,1,noche,0
SAEZ,ARG,29,1,Domingo,I,1,noche,0
SAEZ,ARG,30,1,Lunes,I,1,noche,0
SAEZ,ARG,31,1,Martes,I,1,noche,0
SABE,ARG,8,1,Domingo,I,1,mañana,1
SABE,ARG,15,1,Domingo,I,1,mañana,0
SABE,ARG,22,1,Domingo,I,1,mañana,0
SABE,ARG,29,1,Domingo,I,1,mañana,0
SABE,ARG,1,1,Domingo,I,1,noche,0
SABE,ARG,2,1,Lunes,I,1,noche,0
SABE,ARG,3,1,Martes,I,1,noche,1
SABE,ARG,4,1,Miercoles,I,1,noche,1
SABE,ARG,5,1,Jueves,I,1,noche,0
SABE,ARG,6,1,Viernes,I,1,noche,0
SABE,ARG,8,1,Domingo,I,1,noche,0
SABE,ARG,9,1,Lunes,I,1,noche,1
SABE,ARG,10,1,Martes,I,1,noche,0
SABE,ARG,11,1,Miercoles,I,1,noche,0
SABE,ARG,12,1,Jueves,I,1,noche,0
SABE,ARG,13,1,Viernes,I,1,noche,1
SABE,ARG,15,1,Domingo,I,1,noche,0
SABE,ARG,16,1,Lunes,I,1,noche,0
SABE,ARG,17,1,Martes,I,1,noche,0
SABE,ARG,18,1,Miercoles,I,1,noche,0
SABE,ARG,19,1,Jueves,I,1,noche,0
SABE,ARG,20,1,Viernes,I,1,noche,0
SABE,ARG,22,1,Domingo,I,1,noche,0
SABE,ARG,23,1,Lunes,I,1,noche,1
SABE,ARG,24,1,Martes,I,1,noche,0
SABE,ARG,25,1,Miercoles,I,1,noche,0
SABE,ARG,27,1,Viernes,I,1,noche,1
SABE,ARG,29,1,Domingo,I,1,noche,0
SABE,ARG,30,1,Lunes,I,1,noche,0
SABE,AUT,7,1,Sabado,I,1,noche,0
SABE,AUT,14,1,Sabado,I,1,noche,0
SABE,AUT,21,1,Sabado,I,1,noche,0
SABE,AUT,28,1,Sabado,I,1,noche,0
SKBO,AVA,1,1,Domingo,I,1,mañana,0
SKBO,AVA,2,1,Lunes,I,1,mañana,0
SKBO,AVA,3,1,Martes,I,1,mañana,1
SKBO,AVA,5,1,Jueves,I,1,tarde,1
SKBO,AVA,7,1,Sabado,I,1,mañana,1
SKBO,AVA,8,1,Domingo,I,1,mañana,0
SKBO,AVA,9,1,Lunes,I,1,mañana,0
SKBO,AVA,10,1,Martes,I,1,mañana,0
SKBO,AVA,11,1,Miercoles,I,1,mañana,0
SKBO,AVA,12,1,Jueves,I,1,mañana,0
SKBO,AVA,13,1,Viernes,I,1,mañana,0
SKBO,AVA,14,1,Sabado,I,1,mañana,1
SKBO,AVA,15,1,Domingo,I,1,mañana,0
SKBO,AVA,16,1,Lunes,I,1,mañana,0
SKBO,AVA,17,1,Martes,I,1,mañana,1
SKBO,AVA,18,1,Miercoles,I,1,mañana,0
SKBO,AVA,19,1,Jueves,I,1,mañana,0
SKBO,AVA,20,1,Viernes,I,1,mañana,0
SKBO,AVA,21,1,Sabado,I,1,mañana,0
SKBO,AVA,22,1,Domingo,I,1,mañana,0
SKBO,AVA,23,1,Lunes,I,1,mañana,0
SKBO,AVA,24,1,Martes,I,1,mañana,1
SKBO,AVA,25,1,Miercoles,I,1,mañana,0
SKBO,AVA,26,1,Jueves,I,1,mañana,0
SKBO,AVA,27,1,Viernes,I,1,mañana,0
SKBO,AVA,28,1,Sabado,I,1,mañana,0
SKBO,AVA,29,1,Domingo,I,1,mañana,0
SKBO,AVA,30,1,Lunes,I,1,mañana,0
SKBO,AVA,31,1,Martes,I,1,mañana,0
SKBO,AVA,1,1,Domingo,I,1,tarde,1
SKBO,AVA,2,1,Lunes,I,1,tarde,0
SKBO,AVA,3,1,Martes,I,1,tarde,0
SKBO,AVA,4,1,Miercoles,I,1,tarde,1
SKBO,AVA,5,1,Jueves,I,1,tarde,0
SKBO,AVA,6,1,Viernes,I,1,tarde,1
SKBO,AVA,7,1,Sabado,I,1,tarde,1
SKBO,AVA,8,1,Domingo,I,1,tarde,0
SKBO,AVA,9,1,Lunes,I,1,tarde,0
SKBO,AVA,10,1,Martes,I,1,tarde,0
SKBO,AVA,11,1,Miercoles,I,1,tarde,1
SKBO,AVA,12,1,Jueves,I,1,tarde,0
SKBO,AVA,13,1,Viernes,I,1,tarde,0
SKBO,AVA,14,1,Sabado,I,1,tarde,1
SKBO,AVA,15,1,Domingo,I,1,tarde,0
SKBO,AVA,16,1,Lunes,I,1,tarde,1
SKBO,AVA,17,1,Martes,I,1,tarde,1
SKBO,AVA,18,1,Miercoles,I,1,tarde,0
SKBO,AVA,19,1,Jueves,I,1,tarde,0
SKBO,AVA,20,1,Viernes,I,1,tarde,0
SKBO,AVA,21,1,Sabado,I,1,tarde,0
SKBO,AVA,22,1,Domingo,I,1,tarde,0
SKBO,AVA,23,1,Lunes,I,1,tarde,1
SKBO,AVA,24,1,Martes,I,1,tarde,1
SKBO,AVA,25,1,Miercoles,I,1,tarde,1
SKBO,AVA,26,1,Jueves,I,1,tarde,0
SKBO,AVA,27,1,Viernes,I,1,tarde,0
SKBO,AVA,28,1,Sabado,I,1,tarde,0
SKBO,AVA,29,1,Domingo,I,1,tarde,1
SKBO,AVA,30,1,Lunes,I,1,tarde,0
SKBO,AVA,31,1,Martes,I,1,tarde,1
SKBO,AVA,15,1,Domingo,I,1,mañana,0
SKBO,AVA,29,1,Domingo,I,1,mañana,0
SKBO,AVA,1,1,Domingo,I,1,noche,0
SKBO,AVA,2,1,Lunes,I,1,noche,0
SKBO,AVA,3,1,Martes,I,1,noche,0
SKBO,AVA,4,1,Miercoles,I,1,noche,0
SKBO,AVA,6,1,Viernes,I,1,noche,0
SKBO,AVA,7,1,Sabado,I,1,noche,0
SKBO,AVA,8,1,Domingo,I,1,noche,0
SKBO,AVA,9,1,Lunes,I,1,noche,0
SKBO,AVA,10,1,Martes,I,1,noche,0
SKBO,AVA,11,1,Miercoles,I,1,noche,0
SKBO,AVA,12,1,Jueves,I,1,noche,0
SKBO,AVA,13,1,Viernes,I,1,noche,0
SKBO,AVA,14,1,Sabado,I,1,noche,0
SKBO,AVA,15,1,Domingo,I,1,noche,0
SKBO,AVA,16,1,Lunes,I,1,noche,0
SKBO,AVA,18,1,Miercoles,I,1,noche,0
SKBO,AVA,19,1,Jueves,I,1,noche,0
SKBO,AVA,20,1,Viernes,I,1,noche,0
SKBO,AVA,22,1,Domingo,I,1,noche,0
SKBO,AVA,23,1,Lunes,I,1,noche,0
SKBO,AVA,24,1,Martes,I,1,noche,0
SKBO,AVA,25,1,Miercoles,I,1,noche,0
SKBO,AVA,26,1,Jueves,I,1,noche,0
SKBO,AVA,27,1,Viernes,I,1,noche,0
SKBO,AVA,28,1,Sabado,I,1,noche,0
SKBO,AVA,29,1,Domingo,I,1,noche,0
SKBO,AVA,30,1,Lunes,I,1,noche,0
SKBO,AVA,31,1,Martes,I,1,noche,0
SKBO,AVA,5,1,Jueves,I,1,mañana,1
LIRF,AZA,1,1,Domingo,I,1,tarde,1
LIRF,AZA,2,1,Lunes,I,1,tarde,0
LIRF,AZA,3,1,Martes,I,1,tarde,0
LIRF,AZA,5,1,Jueves,I,1,tarde,0
LIRF,AZA,7,1,Sabado,I,1,tarde,0
LIRF,AZA,8,1,Domingo,I,1,tarde,0
LIRF,AZA,9,1,Lunes,I,1,tarde,0
LIRF,AZA,10,1,Martes,I,1,tarde,1
LIRF,AZA,12,1,Jueves,I,1,tarde,0
LIRF,AZA,14,1,Sabado,I,1,tarde,1
LIRF,AZA,15,1,Domingo,I,1,tarde,0
LIRF,AZA,16,1,Lunes,I,1,tarde,0
LIRF,AZA,17,1,Martes,I,1,tarde,0
LIRF,AZA,19,1,Jueves,I,1,tarde,0
LIRF,AZA,21,1,Sabado,I,1,tarde,1
LIRF,AZA,22,1,Domingo,I,1,tarde,0
LIRF,AZA,23,1,Lunes,I,1,tarde,0
LIRF,AZA,24,1,Martes,I,1,tarde,0
LIRF,AZA,26,1,Jueves,I,1,tarde,0
LIRF,AZA,28,1,Sabado,I,1,tarde,0
LIRF,AZA,29,1,Domingo,I,1,tarde,0
LIRF,AZA,30,1,Lunes,I,1,tarde,0
LIRF,AZA,31,1,Martes,I,1,tarde,0
EGLL,BAW,4,1,Miercoles,I,1,tarde,0
EGLL,BAW,5,1,Jueves,I,1,tarde,1
EGLL,BAW,7,1,Sabado,I,1,tarde,0
EGLL,BAW,9,1,Lunes,I,1,tarde,1
EGLL,BAW,11,1,Miercoles,I,1,tarde,0
EGLL,BAW,12,1,Jueves,I,1,tarde,1
EGLL,BAW,14,1,Sabado,I,1,tarde,1
EGLL,BAW,16,1,Lunes,I,1,tarde,1
EGLL,BAW,18,1,Miercoles,I,1,tarde,0
EGLL,BAW,19,1,Jueves,I,1,tarde,0
EGLL,BAW,21,1,Sabado,I,1,tarde,0
EGLL,BAW,23,1,Lunes,I,1,tarde,0
EGLL,BAW,25,1,Miercoles,I,1,tarde,0
EGLL,BAW,26,1,Jueves,I,1,tarde,0
EGLL,BAW,28,1,Sabado,I,1,tarde,0
EGLL,BAW,30,1,Lunes,I,1,tarde,0
MPTO,CMP,1,1,Domingo,I,1,mañana,0
MPTO,CMP,2,1,Lunes,I,1,mañana,0
MPTO,CMP,3,1,Martes,I,1,mañana,0
MPTO,CMP,4,1,Miercoles,I,1,mañana,0
MPTO,CMP,5,1,Jueves,I,1,mañana,0
MPTO,CMP,6,1,Viernes,I,1,mañana,0
MPTO,CMP,7,1,Sabado,I,1,mañana,0
MPTO,CMP,8,1,Domingo,I,1,mañana,0
MPTO,CMP,9,1,Lunes,I,1,mañana,0
MPTO,CMP,10,1,Martes,I,1,mañana,0
MPTO,CMP,11,1,Miercoles,I,1,mañana,0
MPTO,CMP,12,1,Jueves,I,1,mañana,0
MPTO,CMP,13,1,Viernes,I,1,mañana,0
MPTO,CMP,14,1,Sabado,I,1,mañana,0
MPTO,CMP,15,1,Domingo,I,1,mañana,0
MPTO,CMP,16,1,Lunes,I,1,mañana,0
MPTO,CMP,17,1,Martes,I,1,mañana,0
MPTO,CMP,18,1,Miercoles,I,1,mañana,0
MPTO,CMP,19,1,Jueves,I,1,mañana,0
MPTO,CMP,20,1,Viernes,I,1,mañana,0
MPTO,CMP,21,1,Sabado,I,1,mañana,0
MPTO,CMP,22,1,Domingo,I,1,mañana,0
MPTO,CMP,23,1,Lunes,I,1,mañana,0
MPTO,CMP,24,1,Martes,I,1,mañana,0
MPTO,CMP,25,1,Miercoles,I,1,mañana,0
MPTO,CMP,26,1,Jueves,I,1,mañana,0
MPTO,CMP,27,1,Viernes,I,1,mañana,0
MPTO,CMP,28,1,Sabado,I,1,mañana,0
